Siglum	Source	RISM_abbrev
GB-LproA	"London, Public Record Office E/149/7/23 (dorse)"	GB-Lpro 23
GB-LproB	"London, Public Record Office LR 2/261"	GB-Lpro 261
GB-Lrcp	"London, Royal College of Physicians 777/65"	GB-Lrcp 777/65
GB-LwaA	"London, Westminster Abbey 12185"	GB-Lwa 12185
GB-LwaB	"London, Westminster Abbey 33327"	GB-Westm 33327
GB-ObA	"Oxford, Bodleian Library, Additional A. 286"	GB-Ob 286
GB-ObB	"Oxford, Bodleian Library, Bodley 652"	GB-OBo 652
GB-ObC	"Oxford, Bodleian Library, Canonici Class. latin 112"	GB-Ob 112
GB-ObD	"Oxford, Bodleian Library, Bodley 384"	GB-Ob 384
GB-ObDeedsA	"Oxford, Bodleian Library, Dep. Deeds, Christ Church c34/D.6"	GB-Ob D.6
GB-ObDeedsB	"Oxford, Bodleian Library, Dep. Deeds, Christ Church C.34/D.R.3\%"	GB-Ob D.R.3%
GB-ObE	"Oxford, Bodleian Library, Bodley 548"	GB-Ob 548
GB-ObF	"Oxford, Bodleian Library, Bodley 862"	GB-Ob 862
GB-ObG	"Oxford, Bodleian Library, University College 192"	GB-Ob 192
GB-ObLaudA	"Oxford, Bodleian Library, Laud latin 95"	GB-Ob 95
GB-ObLaudB	"Oxford, Bodleian Library, Laud Miscellaneous 594"	GB-Ob 594
GB-ObMusA	"Oxford, Bodleian Library, Music d.143"	GB-Ob 143
GB-ObMusB	"Oxford, Bodleian Library, Music c. 60"	GB-Ob 60
GB-OCCa	"Oxford, Corpus Christi College 144"	GB-Occ 144
GB-OL	"Oxford, Bodleian Library, Lyell 72"	GB-OL 72
GB-OncA	"Oxford, New College Library 362, item XXVI"	GB-Onc 362
GB-OncB	"Oxford, New College Library 57"	GB-Onc 57
GB-ORL	"Oxford, Bodleian Library, Rawlinson liturgical d. 3"	GB-Ob 3
GenfB	"Geneva, Bibliothèque Universitaire, fonds latin 38b"	CH-GenfB
GentA	"Gent, Rijksarchief n.133  (Abbey of the Groenen Briel)"	B-Gr 133
GentB	"Gent, Rijksarchief, Varia D.3360 (Abbey Ter Haeghen)"	B-Gr 3360
GentC	"Gent?, @[A manuscript, now lost, described in François FETIS, @Histoire de la musique*, vol. 5 (1876), p. 324]*"	
GloucesterA	"Gloucester, Gloucestershire County Record Office D.149"	GB-GLcro 149
GloucesterB	"Gloucester, Gloucestershire County Record Office D.678"	GB-GLcro 678
GrazA	"Graz, Universitätsbibliothek II.756"	A-Gu 756
GrazB	"Graz, Universitätsbibliothek III. 29 and 30"	A-Gu29 and 30
Groningen	"Groningen, Universiteitsbibliothek, fragment I.2"	"NL-G frag. I,2"
GrottaA	"Grottaferrata, Badia Greca, Biblioteca, collocazione provisoria 197"	I-GR 197
GrottaC	"Grottaferrata, Biblioteca dell' Abbazia E. B.XVI (olim 374)"	I-GR 16
GU	"Gubbio, Archivio di Stato, Fondo dell'ex-Convento di San Domenico, Corale O"	I-GU
HA-A	"Heiligenkreuz, Archiv des Zisterzienserstifts, fragment"	A-HEI
HA-B	"Heiligenkreuz, Bibliothek des Zisterzienserstifts 157"	A-HEI 157
HarleyA	"London, British Library, Harley 3965"	GB-Lbl 3965
HarleyB	"London, British Library, Harley 3132"	GB-Lbl 3132
HarleyC	"London, British Library, Harley 4664"	GB-Lbl 4664
Hatton	"Oxford, Bodleian Library, Hatton 81"	GB-OHa 81
Hugo	"Leningrad, Königsbibliothek, lat. membr. O. XIV n.6 (@Chronicon Hugonis sacerdotis de Rutelinga ad annum MCCXLIX*)"	CIS-SPk XIV.6
I-CfA	"Cividale del Friuli, Museo Archeologico Nazionale XCVIII"	I-CF 98
I-CfC	"Cividale del Friuli, Museo Archeologico Nazionale LXIII"	I-CF 63
I-CfD	"Cividale del Friuli, Museo Archeologico Nazionale CI"	I-CF 101
I-CfE	"Cividale del Friuli, Museo Archeologico Nazionale LVI"	I-CF 56
I-CfF	"Cividale del Friuli, Museo Archeologico Nazionale XLI"	I-CF 41
I-CfG	"Cividale del Friuli, Museo Archeologico Nazionale XLVII"	I-CF 47
I-CfH	"Cividale del Friuli, Museo Archeologico Nazionale LVII"	I-CF 57
I-CfI	"Cividale del Friuli, Museo Archeologico Nazionale LVIII"	I-CF 58
I-CfJ	"Cividale del Friuli, Museo Archeologico Nazionale CII"	I-CF 102
I-FnBrA	"Florence, Biblioteca Nazionale Centrale, Magliabechiano II I 122, Banco Rari 18"	I-Fn BR18
I-FnBrB	"Florence, Biblioteca Nazionale Centrale, Magliabechiano II I 212, Banco Rari 19"	I-Fn BR19
I-GuaA	"Guardiagrele (Chieti), Chiesa di Santa Maria Maggiore 1"	I-GUA 1
I-GuaB	"Guardiagrele (Chieti), Chiesa di Santa Maria Maggiore 2"	I-GUA 2
I-Las	"Lucca, Archivio di Stato, Biblioteca manuscritti 247, no. 1"	I-Las 247.1
I-LasB	"Lucca, Archivio di Stato, Biblioteca manuscritti 247, no. 3"	I-Las 247.3
I-PAV 361	"Pavia, Biblioteca Universitaria, Aldini 361"	I-PAV 361
I-Ras	"Rome, Archivio Storico del Vicariato di Roma Fondo Capit. S. Maria in Trastavere, Armad. I, Cell. A., no. 3, ord. IV"	I-Ras
I-Rba	"Rome, Biblioteca Angelica 1485 (olim V.2.22)"	I-Rba 1485
I-Rbc	"Rome, Biblioteca Casanatense 522"	I-Rbc 522
I-REm	"Reggio Emilia, Biblioteca Municipale C 408"	I-REm
I-RvatA	"Rome, Biblioteca Apostolica Vaticana, latino 129"	I-Rvat 129
I-RvatB	"Rome, Biblioteca Apostolica Vaticana, Barberiniano latino 657"	I-Rvat 657
I-RvatC	"Rome, Biblioteca Apostolica Vaticana, Urb. latino 1419"	I-Rvat 1419
I-RvatE	"Rome, Biblioteca Apostolica Vaticana, latino 4749"	I-Rvat 4749
I-RvatF	"Rome, Biblioteca Apostolica Vaticana, latino 2854"	I-Rvat 2854
I-RvatG	"Rome, Biblioteca Apostolica Vaticana, Ottoboniano latino 1969"	I-Rvat 1969
